0.0009765625,0.783
0.00390625,0.782
0.015625,0.781
0.0625,0.783
0.25,0.784
1,0.782
4,0.784
16,0.772
64,0.784
256,0.784
1024,0.781
4096,0.682
16384,0.784
65536,0.783
262144,0.782
1048576,0.778
