32,9.5E-05
64,0.000254
96,0.000718333333333
128,0.001523666666667
160,0.002574
192,0.003826
224,0.005971
256,0.008918
288,0.012548
320,0.017281
352,0.023054666666667
384,0.030056333333333
416,0.038027
448,0.047608
480,0.058613
512,0.072180333333333
544,0.085448666666667
576,0.101602333333333
608,0.119420333333333
640,0.139848666666667
672,0.163406666666667
704,0.185959333333333
736,0.212852
768,0.241278666666667
800,0.276173666666667
832,0.307726
864,0.349651666666667
896,0.386310666666667
928,0.439195
960,0.480048666666667
992,0.542706333333333
1024,0.589854
1056,0.653285
1088,0.702799
1120,0.776796
1152,0.828725
1184,0.920913666666666
1216,0.982816666666667
1248,1.07952233333333
1280,1.146187
1312,1.25412
1344,1.32761
1376,1.43664266666667
1408,1.52351366666667
1440,1.64847533333333
1472,1.74848866666667
1504,1.88460066666667
1536,2.14625866666667
